,title,author,publication_year,format,current_price,original_price
266,Dead Poets Society,N.H. Kleinbaum,2006,Paperback,8.73,8.99
267,40 Days of Decrease,Alicia Britt Chole,2016,Paperback,13.64,18.99
268,Meet Mario! (Nintendo),Malcolm Shealy,2021,Paperback,5.85,5.99
269,Roadside Picnic,Boris Strugatsky,2012,Paperback,8.62,18.0
270,Klara and the Sun,Kazuo Ishiguro,2022,Paperback,11.57,12.03
272,Why We Sleep,Matthew Walker,2018,Paperback,12.72,14.99
273,The Crucible,Arthur Miller,2000,Paperback,9.74,10.83
274,Flow,Mihaly Csikszentmihalyi,2011,Paperback,10.54,16.99
275,"Chainsaw Man, Vol. 4",Tatsuki Fujimoto,2021,Paperback,9.34,9.99
276,The Art Of Seduction,Robert Greene,2012,Paperback,19.69,23.72
277,The 48 Laws Of Power,Robert Greene,2000,Paperback,21.75,23.72
278,The Dispossessed,Ursula K. Le Guin,1999,Paperback,7.92,13.94
279,The Comfort Book,Matt Haig,2022,Paperback,10.17,12.03
280,The Mini ADHD Coach,Alice Gendron,2023,Hardback,18.32,20.47
282,Ego is the Enemy,Ryan Holiday,2018,Paperback,10.09,15.87
283,Grandmaster of Demonic Cultivation,Mo Xiang Tong Xiu,2021,Paperback,17.09,19.99
284,Brain Energy,Christopher M. Palmer,2022,Hardback,23.77,28.95
285,The Last Tale of the Flower Bride,Roshani Chokshi,2023,Hardback,16.91,20.47
286,I May Be Wrong,Bjoern Natthiko Lindeblad,2023,Paperback,10.18,12.03
288,The Folk of the Air Boxset,Holly Black,2020,Novelty book,26.89,32.51
289,The Inner Game of Tennis,W Timothy Gallwey,2015,Paperback,11.53,13.24
292,It Starts with Us,Colleen Hoover,2022,Hardback,17.72,18.06
293,The Alloy of Law,Brandon Sanderson,2012,Paperback,9.59,20.25
294,Do Androids Dream Of Electric Sheep?: The inspiration behind Blade Runner and Blade Runner 2049,Philip K. Dick,2010,Paperback,8.36,12.5
298,Quiet,Susan Cain,2018,Paperback,12.53,14.99
299,The Myth of Sisyphus,Albert Camus,2005,Paperback,8.92,11.0
300,The Complete MAUS,Art Spiegelman,2003,Paperback,21.27,23.75
301,Letters from a Stoic,Seneca,2017,Paperback,11.25,17.0
304,"Given, Vol. 7",Natsuki Kizu,2023,Paperback,12.17,12.99
307,Age Proof,Professor Rose Anne Kenny,2023,Paperback,10.37,17.99
309,Victory City,Salman Rushdie,2023,Hardback,25.45,26.5
310,Ikigai,Héctor García,2017,Hardback,16.37,18.06
311,Dare to Lead,Brené Brown,2018,Paperback,16.59,18.06
313,My Dress-up Darling 7,Shinichi Fukuda,2023,Paperback,14.29,14.99
315,Stories of Your Life and Others,Ted Chiang,2020,Paperback,11.7,12.03
317,The Reverse Coloring Book (TM): Through the Seasons,Kendra Norton,2022,Paperback,11.85,14.95
318,Fleishman Is in Trouble,Taffy Brodesser-Akner,2020,Paperback,10.02,12.03
319,Confess,Colleen Hoover,2015,Paperback,9.67,15.0
322,Legends & Lattes,Travis Baldree,2022,Paperback,16.55,17.99
323,You Can Heal Your Life,Louise Hay,2004,Paperback,13.26,15.99
324,Totally Kosher,Chanie Apfelbaum,2023,Hardback,33.56,37.5
325,The Final Empire,Brandon Sanderson,2009,Paperback,12.77,14.22
326,Bobby Fischer Teaches Chess,Bobby Fischer,1992,Paperback,7.75,8.99
327,The Hobbit and the Lord of the Rings,J. R. R. Tolkien,2014,Paperback,57.17,59.99
328,Every Summer After,Carley Fortune,2022,Paperback,9.49,12.03
329,Why Has Nobody Told Me This Before?,Dr Julie Smith,2022,Hardback,20.09,20.47
330,Breath,James Nestor,2021,Paperback,12.27,13.24
332,Almond,Won-Pyung Sohn,2021,Paperback,11.89,16.99
336,The Menopause,Deirdre Lundy,2023,Paperback,18.3,19.26
337,Messi (Ultimate Football Heroes - the No. 1 football series),Matt & Tom Oldfield,2017,Paperback,6.67,10.99
344,Notes on an Execution,Danya Kukafka,2023,Paperback,10.78,12.03
345,The State Of Affairs,Esther Perel,2019,Paperback,8.25,12.03
346,Elantris,Brandon Sanderson,2016,Paperback,12.32,13.24
347,Between the Chalk and the Sea,Gail Simmons,2023,Hardback,20.92,26.5
348,Hamnet,Maggie O'Farrell,2021,Paperback,11.59,12.03
351,Harry Potter Box Set: The Complete Collection (Children's Paperback),J. K. Rowling,2020,Paperback,83.23,259.95
352,Zog,Julia Donaldson,2017,Paperback,8.32,9.63
353,Hold Me Tight,Dr Sue Johnson,2011,Paperback,13.13,28.25
355,The Original Rider Waite Tarot Deck,A.E. Waite,1999,Cards,15.52,21.67
357,"Wheels On The Bus, The",Paul O. Zelinsky,2015,Book,17.49,24.99
359,The Origins of You,Vienna Pharaon,2023,Hardback,18.56,22.88
361,Metamorphosis,Franz Kafka,2022,Hardback,11.66,12.03
362,Pride and Prejudice,Jane Austen,2012,Paperback,9.38,9.6
363,Giovanni's Room,James Baldwin,2012,Paperback,8.75,11.0
365,Who Moved My Cheese,Dr Spencer Johnson,2018,Paperback,7.8,13.25
368,8 Rules of Love,Jay Shetty,2023,Hardback,22.8,24.09
371,"Komi Can't Communicate, Vol. 23",Tomohito Oda,2023,Paperback,9.45,9.99
373,Lifting Heavy Things,Laura Khoudari,2021,Paperback,15.57,15.99
374,Things We Lost in the Fire,Mariana Enriquez,2018,Paperback,9.17,10.83
375,The Artist's Way,Julia Cameron,2020,Paperback,18.97,20.47
376,My Year of Rest and Relaxation,Ottessa Moshfegh,2019,Paperback,11.4,12.03
377,Invisible Women,Caroline Criado Perez,2020,Paperback,12.95,13.24
378,Way of the Superior Man,David Deida,2017,Paperback,17.18,18.95
380,The Last Diet,Shahroo Izadi,2020,Paperback,10.67,12.03
381,The Colour of Magic,Terry Pratchett,2014,Hardback,13.81,18.06
382,"Love, Pamela",Pamela Anderson,2023,Hardback,18.45,24.09
384,Harry Potter and the Order of the Phoenix,J.K. Rowling,2022,Hardback,40.08,66.99
385,Loathe To Love You,Ali Hazelwood,2023,Paperback,10.72,12.03
389,A.x.e.: Judgment Day,Kieron Gillen,2023,Paperback,31.22,34.99
390,Gideon the Ninth,Tamsyn Muir,2020,Paperback,12.95,17.99
391,The Little Book of Common Sense Investing,John C. Bogle,2017,Hardback,17.42,24.95
396,Dune,Frank Herbert,2015,Paperback,11.64,12.03
397,It's OK To Be Angry About Capitalism,Bernie Sanders,2023,Hardback,24.67,26.5
398,The Complete Guide to Memory,Richard Restak,2023,Hardback,20.56,22.88
399,James and the Giant Peach,Roald Dahl,2007,Paperback,8.3,8.99
400,Fight Club,Chuck Palahniuk,2006,Paperback,9.71,11.25
402,"Bungo Stray Dogs, Vol. 8 (light novel)",Kafka Asagiri,2022,Paperback,14.59,15.0
403,"Chainsaw Man, Vol. 10",Tatsuki Fujimoto,2022,Paperback,8.62,9.99
404,"Chainsaw Man, Vol. 3",Tatsuki Fujimoto,2021,Paperback,9.72,9.99
405,Flowers For Algernon,Daniel Keyes,2000,Paperback,9.29,12.64
408,The Expectation Effect,David Robson,2022,Paperback,11.46,13.24
409,Discipline Is Destiny,Ryan Holiday,2022,Hardback,15.4,18.06
410,The Happiness Cure,Dr Anders Hansen,2023,Paperback,17.05,18.06
412,Becoming Supernatural,Dr Joe Dispenza,2019,Paperback,18.24,19.26
414,Fourth Wing,Rebecca Yarros,2023,Hardback,26.84,29.99
415,Living Untethered,Michael A. Singer,2022,Paperback,13.72,18.95
416,The Scum Villain's Self-Saving System,Mo Xiang Tong Xiu,2021,Paperback,15.37,19.99
417,Classroom of the Elite (Light Novel) Vol. 11,Syougo Kinugasa,2022,Paperback,12.37,13.99
420,Waking the Tiger: Healing Trauma,Peter A. Levine,2017,Paperback,17.29,18.95
421,"Saga, Volume 10",Brian K Vaughan,2022,Paperback,16.11,16.99
422,The Girl Who Fell Beneath the Sea,Axie Oh,2023,Paperback,8.94,10.83
